table_name,column_name,data_type,is_nullable
companies,id,uuid,NO
companies,name,text,NO
companies,auth_key,text,NO
companies,created_at,timestamp with time zone,YES
companies,updated_at,timestamp with time zone,YES
companies,trial_ends_at,timestamp with time zone,YES
companies,display_name,text,YES
documents,id,uuid,NO
documents,vehicle_id,uuid,NO
documents,name,character varying,NO
documents,document_type,character varying,NO
documents,file_url,text,NO
documents,expiration_date,date,YES
documents,notes,text,YES
documents,created_at,timestamp with time zone,YES
documents,created_by,uuid,YES
driver_writeups,id,uuid,NO
driver_writeups,driver_id,uuid,NO
driver_writeups,tier,character varying,NO
driver_writeups,reason,text,NO
driver_writeups,created_by,text,YES
driver_writeups,created_at,timestamp with time zone,YES
drivers,id,uuid,NO
drivers,first_name,character varying,NO
drivers,last_name,character varying,NO
drivers,email,character varying,YES
drivers,phone,character varying,YES
drivers,license_number,character varying,YES
drivers,license_expiration,date,YES
drivers,notes,text,YES
drivers,active,boolean,YES
drivers,created_at,timestamp with time zone,YES
drivers,updated_at,timestamp with time zone,YES
drivers,hire_date,date,YES
drivers,signed_citation_policy,boolean,YES
drivers,location,character varying,YES
drivers,company_id,uuid,YES
fuel_logs,id,uuid,NO
fuel_logs,vehicle_id,uuid,NO
fuel_logs,date,date,NO
fuel_logs,mileage,integer,NO
fuel_logs,gallons,numeric,YES
fuel_logs,cost,numeric,YES
fuel_logs,notes,text,YES
fuel_logs,created_at,timestamp with time zone,YES
fuel_logs,created_by,uuid,YES
inspections,id,uuid,NO
inspections,vehicle_id,uuid,NO
inspections,driver_id,uuid,YES
inspections,inspection_date,date,NO
inspections,inspection_type,character varying,YES
inspections,status,character varying,YES
inspections,brakes_ok,boolean,YES
inspections,brakes_notes,text,YES
inspections,tires_ok,boolean,YES
inspections,tires_notes,text,YES
inspections,lights_ok,boolean,YES
inspections,lights_notes,text,YES
inspections,mirrors_ok,boolean,YES
inspections,mirrors_notes,text,YES
inspections,fluids_ok,boolean,YES
inspections,fluids_notes,text,YES
inspections,body_ok,boolean,YES
inspections,body_notes,text,YES
inspections,engine_ok,boolean,YES
inspections,engine_notes,text,YES
inspections,transmission_ok,boolean,YES
inspections,transmission_notes,text,YES
inspections,other_issues,text,YES
inspections,photo_front_url,text,YES
inspections,photo_back_url,text,YES
inspections,photo_left_url,text,YES
inspections,photo_right_url,text,YES
inspections,photo_other_urls,ARRAY,YES
inspections,mileage,integer,YES
inspections,notes,text,YES
inspections,created_at,timestamp with time zone,YES
inspections,updated_at,timestamp with time zone,YES
inspections,created_by,uuid,YES
issues,id,uuid,NO
issues,vehicle_id,uuid,NO
issues,title,character varying,NO
issues,description,text,YES
issues,status,character varying,YES
issues,priority,character varying,YES
issues,reported_date,date,YES
issues,resolved_date,date,YES
issues,created_at,timestamp with time zone,YES
issues,updated_at,timestamp with time zone,YES
issues,created_by,uuid,YES
service_records,id,uuid,NO
service_records,vehicle_id,uuid,NO
service_records,date,date,NO
service_records,mileage,integer,NO
service_records,service_type,character varying,NO
service_records,description,text,YES
service_records,cost,numeric,YES
service_records,service_provider,character varying,YES
service_records,notes,text,YES
service_records,created_at,timestamp with time zone,YES
